rental_serial_number,fk_rental_id,fk_rental_equipment_uid,equipment_type,equipment_type_serial_number,activation_date,manufacturer,model,size,pricing_status,deactivation_date,deactivation_initials,at_offsite,notes,ski_binding_type,wide,ski_boot_type,snowboard_boot_type,snowboard_binding_color
SKB0382,,,SKB,382,2022-12-12,Tecnica,Cochise Team,18.5,,,,FALSE,,,,Universal,,
SKB0383,,,SKB,383,2022-12-12,Nordica,Promachine 130,21.5,,,,FALSE,,,,Universal,,
SKB0384,217,210,SKB,384,2022-12-12,Dalbello,CX 2.0 JR,21.5,,,,FALSE,,,,Men's,,
SKB0385,282,267,SKB,385,2022-12-12,Tecnica,Cochise Team,24.5,,,,FALSE,,,,Universal,,
SKB0386,,,SKB,386,2022-12-12,Fischer,RC4 Race Jr,18,,,,FALSE,,,,Universal,,
SKB0387,,,SKB,387,2022-12-12,Dalbello,CX 2.0 JR,23.5,,,,FALSE,,,,Universal,,
SKB0388,,,SKB,388,2022-12-12,Salomon,S/Pro 130,20.5,,,,FALSE,,,,Junior,,
SKB0389,,,SKB,389,2022-12-12,Head,Raptor 50,24.5,,,,FALSE,,,,Universal,,
SKB0390,,,SKB,390,2022-12-12,Salomon,S/Max 130,27,,,,FALSE,,,,Women's,,
SKB0391,250,155,SKB,391,2022-12-12,Salomon,S/Pro 130,21.5,,,,FALSE,,,,Men's,,
SKB0392,,,SKB,392,2022-12-12,K2,Mini Turbo,20.5,,,,FALSE,,,,Junior,,
SKB0393,,,SKB,393,2022-12-12,Head,Nexo LYT 130 RS,19.5,,,,FALSE,,,,Universal,,
SKB0394,,,SKB,394,2022-12-12,Lange,RX 120,25.5,,,,FALSE,,,,Universal,,
SKB0395,623,145,SKB,395,2022-12-12,Dalbello,CX 2.0 JR,27.5,,,,FALSE,,,,Women's,,
SKB0396,,,SKB,396,2022-12-12,Atomic,Hawx Jr 2,21.5,,,,FALSE,,,,Men's,,
SKB0397,,,SKB,397,2022-12-12,K2,Recon 120 MV,20,,,,FALSE,,,,Universal,,
SKB0398,556,209,SKB,398,2022-12-12,K2,Mindbender 130,21.5,,,,FALSE,,,,Universal,,
SKB0399,743,16,SKB,399,2022-12-12,Rossignol,Alltrack Pro 110,20.5,,,,FALSE,,,,Universal,,
SKB0400,,,SKB,400,2022-12-12,Head,Raptor 50,24.5,,,,FALSE,,,,Junior,,
SKB0401,,,SKB,401,2022-12-12,Fischer,RC4 Race Jr,26.5,,,,FALSE,,,,Junior,,
SKB0402,,,SKB,402,2022-12-12,Atomic,Hawx Jr 2,26.5,,,,FALSE,,,,Junior,,
SKB0403,353,197,SKB,403,2022-12-12,Atomic,Hawx Prime 100,23.5,,,,FALSE,,,,Universal,,
SKB0404,,,SKB,404,2022-12-12,Rossignol,Alltrack Pro 120W,21.5,,,,FALSE,,,,Universal,,
SKB0405,,,SKB,405,2022-12-12,Salomon,S/Max W 100,17.5,,,,FALSE,,,,Universal,,
SKB0406,214,55,SKB,406,2022-12-12,Salomon,T2 RT Girly,27.5,,,,FALSE,,,,Universal,,
SKB0407,,,SKB,407,2022-12-12,Dalbello,CX 2.0 JR,21.5,,,,FALSE,,,,Women's,,
SKB0408,480,205,SKB,408,2022-12-12,Atomic,Hawx Prime 100,21.5,,,,FALSE,,,,Men's,,
SKB0409,573,79,SKB,409,2022-12-12,Salomon,T2 RT Girly,20.5,,,,FALSE,,,,Universal,,
SKB0410,,,SKB,410,2022-12-12,Head,Raptor 50,22.5,,,,FALSE,,,,Women's,,
SKB0411,639,198,SKB,411,2022-12-12,Salomon,T2 RT Girly,21.5,,,,FALSE,,,,Junior,,
SKB0412,,,SKB,412,2022-12-12,K2,Recon 120 MV,21.5,,,,FALSE,,,,Universal,,
SKB0413,,,SKB,413,2022-12-12,K2,Mini Turbo,20.5,,,,FALSE,,,,Universal,,
SKB0414,,,SKB,414,2022-12-12,Rossignol,Fun Girl J4,21.5,,,,FALSE,,,,Universal,,
SKB0415,694,135,SKB,415,2022-12-12,Tecnica,Mach1 LV 120,18.5,,,,FALSE,,,,Women's,,
SKB0416,,,SKB,416,2022-12-12,Head,Nexo LYT 130 RS,22.5,,,,FALSE,,,,Universal,,
SKB0417,148,110,SKB,417,2022-12-12,Fischer,Ranger One 120,16.5,,,,FALSE,,,,Men's,,
SKB0418,,,SKB,418,2022-12-12,Salomon,T2 RT Girly,29,,,,FALSE,,,,Men's,,
SKB0419,375,137,SKB,419,2022-12-12,Dalbello,DS AX 100 W,17.5,,,,FALSE,,,,Men's,,
SKB0420,787,122,SKB,420,2022-12-12,Atomic,Hawx Jr 2,22.5,,,,FALSE,,,,Universal,,
SKB0421,653,249,SKB,421,2022-12-12,Atomic,Hawx Prime 100,17.5,,,,FALSE,,,,Universal,,
SKB0422,720,7,SKB,422,2022-12-12,Fischer,RC4 Race Jr,23.5,,,,FALSE,,,,Men's,,
SKB0423,200,268,SKB,423,2022-12-12,Atomic,Hawx Magna 130,23.5,,,,FALSE,,,,Men's,,
SKB0424,,,SKB,424,2022-12-12,Dalbello,DS AX 100 W,20.5,,,,FALSE,,,,Universal,,
SKB0425,,,SKB,425,2022-12-12,Fischer,RC Pro 120,27.5,,,,FALSE,,,,Universal,,
SKB0426,723,7,SKB,426,2022-12-12,Tecnica,Cochise Team,27.5,,,,FALSE,,,,Men's,,
SKB0427,,,SKB,427,2022-12-12,Salomon,S/Max W 100,27.5,,,,FALSE,,,,Women's,,
SKB0428,160,189,SKB,428,2022-12-12,Nordica,GP TJ,27.5,,,,FALSE,,,,Men's,,
SKB0429,640,68,SKB,429,2022-12-12,Salomon,T2 RT Girly,25.5,,,,FALSE,,,,Men's,,
SKB0430,205,206,SKB,430,2022-12-12,Fischer,Ranger One 120,27.5,,,,FALSE,,,,Women's,,
SKB0431,,,SKB,431,2022-12-12,Fischer,Ranger Free 130,28,,,,FALSE,,,,Junior,,
SKB0432,,,SKB,432,2022-12-12,Salomon,T2 RT,23.5,,,,FALSE,,,,Men's,,
SKB0433,774,278,SKB,433,2022-12-12,Atomic,Hawx Prime 100,24.5,,,,FALSE,,,,Men's,,
SKB0434,422,34,SKB,434,2022-12-12,Nordica,Speedmachine 100,25,,,,FALSE,,,,Universal,,
SKB0435,490,129,SKB,435,2022-12-12,Fischer,Ranger Free 130,26.5,,,,FALSE,,,,Women's,,
SKB0436,,,SKB,436,2022-12-12,K2,Mini Turbo,23.5,,,,FALSE,,,,Universal,,
SKB0437,,,SKB,437,2022-12-12,Salomon,S/Max 130,22.5,,,,FALSE,,,,Universal,,
SKB0438,512,115,SKB,438,2022-12-12,Fischer,Ranger Free 130,22.5,,,,FALSE,,,,Universal,,
SKB0439,741,235,SKB,439,2022-12-12,Rossignol,Alltrack Pro 110,27.5,,,,FALSE,,,,Junior,,
SKB0440,,,SKB,440,2022-12-12,Dalbello,CX 2.0 JR,27.5,,,,FALSE,,,,Men's,,
SKB0441,,,SKB,441,2022-12-12,Head,Advant Edge 105 W,18.5,,,,FALSE,,,,Universal,,
SKB0442,693,28,SKB,442,2022-12-12,Atomic,Hawx Magna 130,23.5,,,,FALSE,,,,Universal,,
SKB0443,734,249,SKB,443,2022-12-12,Tecnica,Cochise Team,22,,,,FALSE,,,,Universal,,
SKB0444,,,SKB,444,2022-12-12,Rossignol,Pure Comfort 60,20,,,,FALSE,,,,Junior,,
SKB0445,617,290,SKB,445,2022-12-12,Lange,RX 120,18.5,,,,FALSE,,,,Junior,,
SKB0446,161,188,SKB,446,2022-12-12,Fischer,RC4 Race Jr,19.5,,,,FALSE,,,,Universal,,
SKB0447,676,66,SKB,447,2022-12-12,Rossignol,Pure Comfort 60,24.5,,,,FALSE,,,,Men's,,
SKB0448,,,SKB,448,2022-12-12,Rossignol,Fun Girl J4,23.5,,,,FALSE,,,,Universal,,
SKB0449,324,122,SKB,449,2022-12-12,Dalbello,CX 1.0 JR,26.5,,,,FALSE,,,,Women's,,
SKB0450,,,SKB,450,2022-12-12,Atomic,Hawx Prime 120,24.5,,,,FALSE,,,,Universal,,
SKB0451,211,16,SKB,451,2022-12-12,K2,Mini Turbo,27.5,,,,FALSE,,,,Universal,,
SKB0452,155,36,SKB,452,2022-12-12,Dalbello,Krypton AX 120 ID,26.5,,,,FALSE,,,,Women's,,
SKB0453,,,SKB,453,2022-12-12,Atomic,Hawx Girl 2,26,,,,FALSE,,,,Women's,,
SKB0454,76,111,SKB,454,2022-12-12,Fischer,RC4 Race Jr,25.5,,,,FALSE,,,,Women's,,
SKB0455,395,26,SKB,455,2022-12-12,Atomic,Hawx Prime 100,28.5,,,,FALSE,,,,Universal,,
SKB0456,,,SKB,456,2022-12-12,Rossignol,Fun Girl J4,27.5,,,,FALSE,,,,Junior,,
SKB0457,705,65,SKB,457,2022-12-12,Tecnica,Cochise 105 W DYN,28.5,,,,FALSE,,,,Junior,,
SKB0458,,,SKB,458,2022-12-12,Atomic,Hawx Prime 100,33.5,,,,FALSE,,,,Women's,,
SKB0459,,,SKB,459,2022-12-12,Nordica,GP TJ,30,,,,FALSE,,,,Universal,,
SKB0460,656,157,SKB,460,2022-12-12,Fischer,RC4 Race Jr,26.5,,,,FALSE,,,,Universal,,
SKB0461,,,SKB,461,2022-12-12,Fischer,RC Pro W 110,24.5,,,,FALSE,,,,Universal,,
SKB0462,,,SKB,462,2022-12-12,Salomon,T2 RT Girly,23.5,,,,FALSE,,,,Junior,,
SKB0463,653,68,SKB,463,2022-12-12,Dalbello,CX 1.0 JR,21.5,,,,FALSE,,,,Universal,,
SKB0464,,,SKB,464,2022-12-12,Head,Advant Edge 105 W,20.5,,,,FALSE,,,,Junior,,
SKB0465,,,SKB,465,2022-12-12,Nordica,Speedmachine 120,21,,,,FALSE,,,,Junior,,
SKB0466,,,SKB,466,2022-12-12,K2,Mini Turbo,27.5,,,,FALSE,,,,Men's,,
SKB0467,527,37,SKB,467,2022-12-12,K2,Mini Turbo,18.5,,,,FALSE,,,,Women's,,
SKB0468,785,183,SKB,468,2022-12-12,Atomic,Hawx Girl 2,25.5,,,,FALSE,,,,Women's,,
SKB0469,,,SKB,469,2022-12-12,Fischer,Ranger One 120,23.5,,,,FALSE,,,,Universal,,
SKB0470,23,137,SKB,470,2022-12-12,Atomic,Hawx Prime 100,24.5,,,,FALSE,,,,Universal,,
SKB0471,,,SKB,471,2022-12-12,Head,Raptor 50,24.5,,,,FALSE,,,,Women's,,
SKB0472,,,SKB,472,2022-12-12,Tecnica,Cochise 120,25.5,,,,FALSE,,,,Women's,,
SKB0473,560,239,SKB,473,2022-12-12,K2,Pinnacle 100,28.5,,,,FALSE,,,,Universal,,
SKB0474,99,138,SKB,474,2022-12-12,Fischer,Ranger Free 130,27.5,,,,FALSE,,,,Universal,,
SKB0475,105,225,SKB,475,2022-12-12,Fischer,RC Pro 120,17.5,,,,FALSE,,,,Universal,,
SKB0476,559,281,SKB,476,2022-12-12,K2,Mini Turbo,19.5,,,,FALSE,,,,Women's,,
SKB0477,747,23,SKB,477,2022-12-12,Rossignol,Pure Comfort 60,26.5,,,,FALSE,,,,Universal,,
SKB0478,,,SKB,478,2022-12-12,Salomon,T2 RT,21.5,,,,FALSE,,,,Women's,,
SKB0479,,,SKB,479,2022-12-12,K2,Recon 120 MV,16.5,,,,FALSE,,,,Men's,,
SKB0480,,,SKB,480,2022-12-12,Salomon,S/Max W 100,27.5,,,,FALSE,,,,Universal,,
SKB0481,,,SKB,481,2022-12-12,Nordica,GP TJ,27.5,,,,FALSE,,,,Women's,,
SKB0482,,,SKB,482,2022-12-12,Rossignol,Fun Girl J4,27.5,,,,FALSE,,,,Universal,,
SKB0483,,,SKB,483,2022-12-12,Nordica,Cruise 60,19.5,,,,FALSE,,,,Men's,,
SKB0484,,,SKB,484,2022-12-12,Nordica,Cruise 60,28.5,,,,FALSE,,,,Universal,,
SKB0485,746,207,SKB,485,2022-12-12,Nordica,GP TJ,25,,,,FALSE,,,,Universal,,
SKB0486,603,44,SKB,486,2022-12-12,Nordica,GP TJ,33.5,,,,FALSE,,,,Universal,,
SKB0487,,,SKB,487,2022-12-12,Fischer,Ranger One 120,26.5,,,,FALSE,,,,Universal,,
SKB0488,,,SKB,488,2022-12-12,Head,Raptor 90 RS,20.5,,,,FALSE,,,,Junior,,
SKB0489,,,SKB,489,2022-12-12,Atomic,Hawx Jr 2,25.5,,,,FALSE,,,,Universal,,
SKB0490,72,70,SKB,490,2022-12-12,Rossignol,Fun Girl J4,20.5,,,,FALSE,,,,Men's,,
SKB0491,,,SKB,491,2022-12-12,Tecnica,Cochise Team,21.5,,,,FALSE,,,,Universal,,
SKB0492,684,207,SKB,492,2022-12-12,Atomic,Hawx Prime 120,22.5,,,,FALSE,,,,Junior,,
SKB0493,600,215,SKB,493,2022-12-12,Head,Raptor 50,30,,,,FALSE,,,,Junior,,
SKB0494,,,SKB,494,2022-12-12,Fischer,Ranger One 120,25.5,,,,FALSE,,,,Universal,,
SKB0495,470,32,SKB,495,2022-12-12,K2,Mini Turbo,22.5,,,,FALSE,,,,Men's,,
SKB0496,,,SKB,496,2022-12-12,Head,Vector Evo 130S,18.5,,,,FALSE,,,,Universal,,
SKB0497,,,SKB,497,2022-12-12,Rossignol,Fun Girl J4,22.5,,,,FALSE,,,,Women's,,
SKB0498,,,SKB,498,2022-12-12,Atomic,Hawx Jr 2,29.5,,,,FALSE,,,,Junior,,
SKB0499,,,SKB,499,2022-12-12,Salomon,S/Max W 100,27,,,,FALSE,,,,Universal,,
SKB0500,73,114,SKB,500,2022-12-12,Rossignol,Fun Girl J4,22.5,,,,FALSE,,,,Women's,,
SKB0501,49,224,SKB,501,2022-12-12,Head,Vector Evo 130S,16.5,,,,FALSE,,,,Men's,,
SKB0502,663,41,SKB,502,2022-12-12,Atomic,Hawx Jr 2,15.5,,,,FALSE,,,,Universal,,
SKB0503,377,235,SKB,503,2022-12-12,Rossignol,Alltrack Elite 130,21.5,,,,FALSE,,,,Universal,,
SKB0504,130,268,SKB,504,2022-12-12,Dalbello,CX 2.0 JR,21.5,,,,FALSE,,,,Universal,,
SKB0505,,,SKB,505,2022-12-12,Dalbello,Panterra 120 ID,26.5,,,,FALSE,,,,Men's,,
SKB0506,,,SKB,506,2022-12-12,Salomon,S/Max W 100,22.5,,,,FALSE,,,,Women's,,
SKB0507,,,SKB,507,2022-12-12,Dalbello,CX 2.0 JR,19.5,,,,FALSE,,,,Universal,,
SKB0508,,,SKB,508,2022-12-12,Nordica,GP TJ,27.5,,,,FALSE,,,,Universal,,
SKB0509,14,185,SKB,509,2022-12-12,Head,Raptor 50,24.5,,,,FALSE,,,,Men's,,
SKB0510,762,105,SKB,510,2022-12-12,Rossignol,Fun Girl J4,19,,,,FALSE,,,,Universal,,
SKB0511,,,SKB,511,2022-12-12,Fischer,Ranger One 120,19.5,,,,FALSE,,,,Universal,,
SKB0512,,,SKB,512,2022-12-12,Salomon,T2 RT,27.5,,,,FALSE,,,,Universal,,
SKB0513,,,SKB,513,2022-12-12,Nordica,Cruise 60,28,,,,FALSE,,,,Universal,,
SKB0514,497,36,SKB,514,2022-12-12,Salomon,S/Max W 100,18.5,,,,FALSE,,,,Universal,,
SKB0515,,,SKB,515,2022-12-12,Lange,RX 120,20.5,,,,FALSE,,,,Men's,,
SKB0516,698,65,SKB,516,2022-12-12,Dalbello,CX 2.0 JR,18.5,,,,FALSE,,,,Women's,,
SKB0517,29,110,SKB,517,2022-12-12,Salomon,QST Pro 120,21.5,,,,FALSE,,,,Men's,,
SKB0518,,,SKB,518,2022-12-12,Head,Vector Evo 130S,25.5,,,,FALSE,,,,Men's,,
SKB0519,15,76,SKB,519,2022-12-12,Head,Raptor 50,27.5,,,,FALSE,,,,Universal,,
SKB0520,207,98,SKB,520,2022-12-12,Rossignol,Fun Girl J4,27.5,,,,FALSE,,,,Universal,,
SKB0521,367,159,SKB,521,2022-12-12,Atomic,Hawx Jr 2,34.5,,,,FALSE,,,,Men's,,
SKB0522,299,146,SKB,522,2022-12-12,K2,Pinnacle 100,26,,,,FALSE,,,,Universal,,
SKB0523,116,226,SKB,523,2022-12-12,Atomic,Hawx Magna 130,26.5,,,,FALSE,,,,Universal,,
SKB0524,,,SKB,524,2022-12-12,Dalbello,DS AX 100 W,24,,,,FALSE,,,,Women's,,
SKB0525,30,122,SKB,525,2022-12-12,K2,Mindbender 130,20.5,,,,FALSE,,,,Junior,,
SKB0526,64,150,SKB,526,2022-12-12,Atomic,Hawx Jr 2,25.5,,,,FALSE,,,,Men's,,
SKB0527,404,216,SKB,527,2022-12-12,Nordica,Speedmachine 100,27.5,,,,FALSE,,,,Universal,,
SKB0528,53,163,SKB,528,2022-12-12,K2,B.F.C. W 80,20.5,,,,FALSE,,,,Men's,,
SKB0529,630,79,SKB,529,2022-12-12,Nordica,Speedmachine 100,26.5,,,,FALSE,,,,Women's,,
SKB0530,,,SKB,530,2022-12-12,Rossignol,Alltrack Pro 120W,24.5,,,,FALSE,,,,Women's,,
SKB0531,274,136,SKB,531,2022-12-12,Tecnica,Cochise Team,24.5,,,,FALSE,,,,Junior,,
SKB0532,403,218,SKB,532,2022-12-12,Salomon,QST Pro 120,23.5,,,,FALSE,,,,Universal,,
SKB0533,431,118,SKB,533,2022-12-12,Nordica,Promachine 130,27.5,,,,FALSE,,,,Universal,,
SKB0534,,,SKB,534,2022-12-12,Atomic,Hawx Jr 2,22.5,,,,FALSE,,,,Universal,,
SKB0535,,,SKB,535,2022-12-12,Rossignol,Fun Girl J4,25,,,,FALSE,,,,Junior,,
SKB0536,,,SKB,536,2022-12-12,K2,Pinnacle 100,28.5,,,,FALSE,,,,Universal,,
SKB0537,346,27,SKB,537,2022-12-12,Fischer,RC4 Race Jr,26,,,,FALSE,,,,Junior,,
SKB0538,1,115,SKB,538,2022-12-12,Head,Raptor 50,25.5,,,,FALSE,,,,Universal,,
SKB0539,546,221,SKB,539,2022-12-12,K2,Mini Turbo,26.5,,,,FALSE,,,,Universal,,
SKB0540,,,SKB,540,2022-12-12,Tecnica,Cochise 105 W DYN,27.5,,,,FALSE,,,,Women's,,
SKB0541,764,44,SKB,541,2022-12-12,Tecnica,Mach1 MV 130,23,,,,FALSE,,,,Universal,,
SKB0542,,,SKB,542,2022-12-12,Fischer,RC Pro 120,22.5,,,,FALSE,,,,Men's,,
SKB0543,,,SKB,543,2022-12-12,Atomic,Hawx Girl 2,21.5,,,,FALSE,,,,Women's,,
SKB0544,497,161,SKB,544,2022-12-12,Atomic,Hawx Magna 130,,,,,FALSE,,,,Men's,,
SKB0545,320,110,SKB,545,2022-12-12,Head,Raptor 50,26,,,,FALSE,,,,Junior,,
SKB0546,557,60,SKB,546,2022-12-12,Nordica,GP TJ,25,,,,FALSE,,,,Universal,,
SKB0547,,,SKB,547,2022-12-12,Tecnica,Cochise Team,26.5,,,,FALSE,,,,Universal,,
SKB0548,539,259,SKB,548,2022-12-12,Fischer,RC4 Race Jr,24.5,,,,FALSE,,,,Universal,,
SKB0549,,,SKB,549,2022-12-12,Salomon,QST Pro 120,18.5,,,,FALSE,,,,Women's,,
SKB0550,,,SKB,550,2022-12-12,Dalbello,DS AX 100 W,27,,,,FALSE,,,,Junior,,
SKB0551,791,217,SKB,551,2022-12-12,Head,Raptor 50,24.5,,,,FALSE,,,,Men's,,
SKB0552,,,SKB,552,2022-12-12,Tecnica,Cochise Team,27.5,,,,FALSE,,,,Men's,,
SKB0553,,,SKB,553,2022-12-12,Dalbello,Panterra 120 ID,25,,,,FALSE,,,,Universal,,
SKB0554,,,SKB,554,2022-12-12,Atomic,Hawx Jr 2,27.5,,,,FALSE,,,,Men's,,
SKB0555,,,SKB,555,2022-12-12,Tecnica,Cochise 120,27.5,,,,FALSE,,,,Junior,,
SKB0556,430,171,SKB,556,2022-12-12,Tecnica,Cochise 105 W DYN,27,,,,FALSE,,,,Men's,,
SKB0557,,,SKB,557,2022-12-12,Fischer,RC4 Race Jr,25.5,,,,FALSE,,,,Junior,,
SKB0558,309,9,SKB,558,2022-12-12,Tecnica,Cochise Team,28.5,,,,FALSE,,,,Junior,,
SKB0559,,,SKB,559,2022-12-12,Nordica,Cruise 60,22.5,,,,FALSE,,,,Women's,,
SKB0560,376,113,SKB,560,2022-12-12,Tecnica,Cochise Team,26.5,,,,FALSE,,,,Universal,,
SKB0561,,,SKB,561,2022-12-12,K2,B.F.C. W 80,24.5,,,,FALSE,,,,Junior,,
SKB0562,564,251,SKB,562,2022-12-12,Head,Raptor 50,21.5,,,,FALSE,,,,Men's,,
SKB0563,,,SKB,563,2022-12-12,Lange,RX 120,27.5,,,,FALSE,,,,Universal,,
SKB0564,136,7,SKB,564,2022-12-12,Head,Nexo LYT 130 RS,30,,,,FALSE,,,,Universal,,
SKB0565,37,23,SKB,565,2022-12-12,Salomon,S/Max W 100,27,,,,FALSE,,,,Universal,,
SKB0566,,,SKB,566,2022-12-12,Dalbello,Panterra 120 ID,26.5,,,,FALSE,,,,Universal,,
SKB0567,,,SKB,567,2022-12-12,Tecnica,Mach1 MV 130,24.5,,,,FALSE,,,,Women's,,
SKB0568,,,SKB,568,2022-12-12,Nordica,Cruise 60,20.5,,,,FALSE,,,,Men's,,
SKB0569,186,176,SKB,569,2022-12-12,K2,Mini Turbo,24.5,,,,FALSE,,,,Universal,,
SKB0570,500,154,SKB,570,2022-12-12,Tecnica,Cochise Team,29,,,,FALSE,,,,Men's,,
SKB0571,58,169,SKB,571,2022-12-12,Atomic,Hawx Prime 120,25.5,,,,FALSE,,,,Universal,,
SKB0572,,,SKB,572,2022-12-12,Atomic,Hawx Magna 130,26.5,,,,FALSE,,,,Universal,,
SKB0573,,,SKB,573,2022-12-12,Tecnica,Cochise Team,22.5,,,,FALSE,,,,Women's,,
SKB0574,775,117,SKB,574,2022-12-12,Head,Vector Evo 130S,20.5,,,,FALSE,,,,Junior,,
SKB0575,193,204,SKB,575,2022-12-12,Tecnica,Cochise Team,29.5,,,,FALSE,,,,Universal,,
SKB0576,164,20,SKB,576,2022-12-12,Atomic,Hawx Girl 2,21.5,,,,FALSE,,,,Universal,,
SKB0577,456,66,SKB,577,2022-12-12,Nordica,Speedmachine 100,24.5,,,,FALSE,,,,Universal,,
SKB0578,,,SKB,578,2022-12-12,Rossignol,Alltrack Elite 130,25.5,,,,FALSE,,,,Junior,,
SKB0579,450,140,SKB,579,2022-12-12,Head,Raptor 90 RS,28.5,,,,FALSE,,,,Men's,,
SKB0580,351,133,SKB,580,2022-12-12,Dalbello,CX 2.0 JR,25.5,,,,FALSE,,,,Universal,,
SKB0581,,,SKB,581,2022-12-12,Tecnica,Mach1 MV 130,21.5,,,,FALSE,,,,Universal,,
SKB0582,368,151,SKB,582,2022-12-12,K2,Mini Turbo,23,,,,FALSE,,,,Men's,,
SKB0583,,,SKB,583,2022-12-12,Salomon,T2 RT Girly,25,,,,FALSE,,,,Universal,,
SKB0584,,,SKB,584,2022-12-12,K2,Mini Turbo,25.5,,,,FALSE,,,,Universal,,
SKB0585,292,23,SKB,585,2022-12-12,Salomon,T2 RT Girly,22.5,,,,FALSE,,,,Men's,,
SKB0586,550,220,SKB,586,2022-12-12,K2,Mindbender 130,24,,,,FALSE,,,,Universal,,
SKB0587,77,197,SKB,587,2022-12-12,Atomic,Hawx Girl 2,22.5,,,,FALSE,,,,Junior,,
SKB0588,264,209,SKB,588,2022-12-12,Nordica,Promachine 130,25,,,,FALSE,,,,Universal,,
SKB0589,33,152,SKB,589,2022-12-12,K2,Mini Turbo,22.5,,,,FALSE,,,,Universal,,
SKB0590,,,SKB,590,2022-12-12,Atomic,Hawx Jr 2,23,,,,FALSE,,,,Junior,,
SKB0591,,,SKB,591,2022-12-12,Fischer,Ranger Free 130,16,,,,FALSE,,,,Junior,,
SKB0592,,,SKB,592,2022-12-12,Rossignol,Alltrack Pro 120W,20.5,,,,FALSE,,,,Women's,,
SKB0593,666,78,SKB,593,2022-12-12,Head,Raptor 90 RS,25.5,,,,FALSE,,,,Universal,,
SKB0594,,,SKB,594,2022-12-12,Salomon,T2 RT Girly,25,,,,FALSE,,,,Men's,,
SKB0595,,,SKB,595,2022-12-12,Head,Raptor 50,25,,,,FALSE,,,,Junior,,
SKB0596,,,SKB,596,2022-12-12,Atomic,Hawx Jr 2,18,,,,FALSE,,,,Men's,,
SKB0597,,,SKB,597,2022-12-12,Atomic,Hawx Jr 2,29.5,,,,FALSE,,,,Men's,,
SKB0598,62,37,SKB,598,2022-12-12,Rossignol,Fun Girl J4,24.5,,,,FALSE,,,,Men's,,
SKB0599,,,SKB,599,2022-12-12,Salomon,T2 RT Girly,14.5,,,,FALSE,,,,Universal,,
SKB0600,691,223,SKB,600,2022-12-12,Salomon,T2 RT Girly,22.5,,,,FALSE,,,,Universal,,
SKB0601,315,217,SKB,601,2022-12-12,Tecnica,Cochise 105 W DYN,29.5,,,,FALSE,,,,Universal,,
SKB0602,671,281,SKB,602,2022-12-12,Nordica,GP TJ,20.5,,,,FALSE,,,,Junior,,
SKB0603,,,SKB,603,2022-12-12,Atomic,Hawx Magna 130,20.5,,,,FALSE,,,,Junior,,
SKB0604,427,34,SKB,604,2022-12-12,Tecnica,Cochise Team,25.5,,,,FALSE,,,,Universal,,
SKB0605,448,261,SKB,605,2022-12-12,Atomic,Hawx Prime 100,25.5,,,,FALSE,,,,Junior,,
SKB0606,,,SKB,606,2022-12-12,Tecnica,Cochise Team,25.5,,,,FALSE,,,,Women's,,
SKB0607,,,SKB,607,2022-12-12,Salomon,T2 RT Girly,22.5,,,,FALSE,,,,Women's,,
SKB0608,,,SKB,608,2022-12-12,Rossignol,Fun Girl J4,26.5,,,,FALSE,,,,Men's,,
SKB0609,,,SKB,609,2022-12-12,Atomic,Hawx Jr 2,26.5,,,,FALSE,,,,Universal,,
SKB0610,727,40,SKB,610,2022-12-12,Tecnica,Cochise 120,26.5,,,,FALSE,,,,Universal,,
SKB0611,,,SKB,611,2022-12-12,K2,Mindbender 130,26.5,,,,FALSE,,,,Universal,,
SKB0612,495,292,SKB,612,2022-12-12,Salomon,QST Pro 120,25.5,,,,FALSE,,,,Men's,,
SKB0613,,,SKB,613,2022-12-12,K2,Recon 120 MV,24.5,,,,FALSE,,,,Men's,,
SKB0614,210,32,SKB,614,2022-12-12,Atomic,Hawx Prime 120,24.5,,,,FALSE,,,,Men's,,
SKB0615,405,7,SKB,615,2022-12-12,K2,Recon 120 MV,25.5,,,,FALSE,,,,Women's,,
SKB0616,606,183,SKB,616,2022-12-12,Lange,RX 120,25.5,,,,FALSE,,,,Universal,,
SKB0617,501,111,SKB,617,2022-12-12,Nordica,Cruise 60,25,,,,FALSE,,,,Universal,,
SKB0618,238,209,SKB,618,2022-12-12,Rossignol,Fun Girl J4,24.5,,,,FALSE,,,,Men's,,
SKB0619,469,135,SKB,619,2022-12-12,Tecnica,Mach1 LV 120,24.5,,,,FALSE,,,,Men's,,
SKB0620,615,204,SKB,620,2022-12-12,Tecnica,Mach1 LV 120,25.5,,,,FALSE,,,,Junior,,
SKB0621,514,61,SKB,621,2022-12-12,Atomic,Hawx Prime 100,25.5,,,,FALSE,,,,Men's,,
SKB0622,,,SKB,622,2022-12-12,Fischer,RC Pro 120,26.5,,,,FALSE,,,,Universal,,
SKB0623,,,SKB,623,2022-12-12,Salomon,T2 RT Girly,25.5,,,,FALSE,,,,Universal,,
SKB0624,680,122,SKB,624,2022-12-12,K2,Mini Turbo,25.5,,,,FALSE,,,,Junior,,
SKB0625,110,192,SKB,625,2022-12-12,Rossignol,Pure Comfort 60,25.5,,,,FALSE,,,,Universal,,
SKB0626,,,SKB,626,2022-12-12,Tecnica,Cochise Team,25.5,,,,FALSE,,,,Universal,,
SKB0627,,,SKB,627,2022-12-12,Atomic,Hawx Jr 2,25.5,,,,FALSE,,,,Universal,,
